file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,good,reject_reason
light_V_8s_2026_05_20-0053_flat_0p3_late_bias_cal.fits,2461181.682147222,8.0,55613.16007338852,149.90315889086386,216429.93557929993,3.8917036056518555,7,True,True,ok
light_V_8s_2026_05_20-0054_flat_0p3_late_bias_cal.fits,2461181.6823388888,8.0,39177.174952871195,99.9343165471296,220528.56798744202,5.629006385803223,5,True,True,ok
light_V_8s_2026_05_20-0055_flat_0p3_late_bias_cal.fits,2461181.682530903,8.0,28.615519518004042,0.1176226471689916,177449.37664031982,6201.158658981323,4,True,True,ok
light_V_8s_2026_05_20-0056_flat_0p3_late_bias_cal.fits,2461181.6827226854,8.0,48261.77908108707,96.22791767317193,245853.3204345703,5.0941619873046875,9,True,True,ok
light_V_8s_2026_05_20-0057_flat_0p3_late_bias_cal.fits,2461181.682914352,8.0,28200.585154521952,93.49235634590525,197210.2832183838,6.993127346038818,6,True,True,ok
light_V_8s_2026_05_20-0058_flat_0p3_late_bias_cal.fits,2461181.68310625,8.0,19924.899326219795,70.36852603694115,193859.68438339233,9.72951889038086,7,True,True,ok
light_V_8s_2026_05_20-0059_flat_0p3_late_bias_cal.fits,2461181.683298148,8.0,29664.140936503012,67.60802711664941,232460.90953826904,7.836428165435791,6,True,True,ok
light_V_8s_2026_05_20-0060_flat_0p3_late_bias_cal.fits,2461181.683489236,8.0,28.90076763890631,0.09517510627407577,201666.83404541016,6977.9057970047,4,True,True,ok
light_V_8s_2026_05_20-0061_flat_0p3_late_bias_cal.fits,2461181.683680787,8.0,57704.83682675665,163.34525560634933,210210.91333389282,3.64286470413208,6,True,True,ok
light_V_8s_2026_05_20-0062_flat_0p3_late_bias_cal.fits,2461181.683872454,8.0,17698.434628409537,46.4901659472387,218861.63068008423,12.366157531738281,5,True,True,ok
light_V_8s_2026_05_20-0063_flat_0p3_late_bias_cal.fits,2461181.6840641205,8.0,38934.70861774629,148.32165168076986,192489.86711883545,4.943914413452148,7,True,True,ok
light_V_8s_2026_05_20-0064_flat_0p3_late_bias_cal.fits,2461181.684255671,8.0,35335.77840972171,94.62623987002108,217331.67095947266,6.150470733642578,6,True,True,ok
